Open Data-Federal-Administrative Office of the United States Courts-Lawdragon-Public Access to Court Electronic Records (PACER), 10
Open Data-Federal-Administrative Office of the United States Courts-Fastcase-US Supreme Court   2013 Term Opinions of the Court, 10
Open Data-Federal-Administrative Office of the United States Courts-Office of the Law Revision Council, 10
Open Data-Federal-Administrative Office of the United States Courts-Think Computer Corporation-Public Access to Court Electronic Records (PACER)via RECAP The Law-0
Open Data-Federal-Administrative Office of the United States Courts-IVES Group Inc-Public Access to Court Electronic Records (PACER), 10
Open Data-Federal-Administrative Office of the United States Courts-Patently O-PACER, 10
Open Data-Federal-Commodity Futures Trading Commission-Jurispect, 10
Open Data-Federal-Consumer Financial Protection Bureau-Jurispect, 10
Open Data-Federal-Consumer Financial Protection Bureau-BillGuard-CFPB Credit Card Complaint Database, 10
Open Data-Federal-Consumer Financial Protection Bureau-ideas42-Consumer Finance Protection Bureau (CFPB) Complaints Database, 10
Open Data-Federal-Corporation for National and Community Service, 10
Open Data-Federal-Court Services and Offender Supervision Agency, 10
Open Data-Federal-Department of Agriculture-Jurispect, 10
Open Data-Federal-Department of Agriculture-YourMapper-Farmers Markets, 10
Open Data-Federal-Department of Agriculture-FarmLogs, 10
Open Data-Federal-Department of Agriculture-Climate Corporation, 10
Open Data-Federal-Department of Agriculture-Mercaris, 10
Open Data-Federal-Department of Agriculture-LoseIt.com, 10
Open Data-Federal-Department of Agriculture-Trulia-Forest Service Wildfire Map, 10
Open Data-Federal-Department of Agriculture-Mapbox-National agriculture imagery program (NAIP), 10
Open Data-Federal-Department of Agriculture-Food+Tech Connect, 10
Open Data-Federal-Department of Agriculture-Azavea, 10
Open Data-Federal-Department of Agriculture-Locavore, 10
Open Data-Federal-Department of Agriculture-Nautilytics, 10
Open Data-Federal-Department of Agriculture-Enigma.io, 10
Open Data-Federal-Department of Agriculture-Weight Watchers-National nutrient database, 10
Open Data-Federal-Department of Agriculture-WeMakeItSafer, 10
Open Data-Federal-Department of Agriculture-FindTheBest.com-National Agricultural Library, 10
Open Data-Federal-Department of Agriculture-Barchart, 10
Open Data-Federal-Department of Agriculture-BlackRock, 10
Open Data-Federal-Department of Agriculture-"Farmers Business Network Inc.", 10
Open Data-Federal-Department of Commerce-Stormpulse, 10
Open Data-Federal-Department of Commerce-Overture Technologies, 10
Open Data-Federal-Department of Commerce-Way Better Patents, 10
Open Data-Federal-Department of Commerce-"Graematter Inc.", 10
Open Data-Federal-Department of Commerce-CAN Capital, 10
Open Data-Federal-Department of Commerce-Bureau Blank (DROP), 10
Open Data-Federal-Department of Commerce-M1T, 10
Open Data-Federal-Department of Commerce-Redfin, 10
Open Data-Federal-Department of Commerce-Abt Associates, 10
Open Data-Federal-Department of Commerce-Appallicious, 10
Open Data-Federal-Department of Commerce-Azavea, 10
Open Data-Federal-Department of Commerce-Civinomics, 10
Open Data-Federal-Department of Commerce-Climate Corporation, 10
Open Data-Federal-Department of Commerce-Credit Sesame, 10
Open Data-Federal-Department of Commerce-Esri, 10
Open Data-Federal-Department of Commerce-FarmLogs, 10
Open Data-Federal-Department of Commerce-Investormill, 10
Open Data-Federal-Department of Commerce-HelloWallet, 10
Open Data-Federal-Department of Commerce-Lucid, 10
Open Data-Federal-Department of Commerce-Vizzuality-Open Street Map, 10
Open Data-Federal-Department of Commerce-The Schork Report, 10
Open Data-Federal-Department of Commerce-Think Computer Corporation, 10
Open Data-Federal-Department of Commerce-Pave, 10
Open Data-Federal-Department of Commerce-Whitby Group-Quality Controlled Local Climatological Data, 10
Open Data-Federal-Department of Commerce-Development Seed, 10
Open Data-Federal-Department of Commerce-Trulia, 10
Open Data-Federal-Department of Commerce-PolicyMap, 10
Open Data-Federal-Department of Commerce-AccuWeather, 10
Open Data-Federal-Department of Commerce-Allied Van Lines, 10
Open Data-Federal-Department of Commerce-American Red Ball Movers, 10
Open Data-Federal-Department of Commerce-Arpin Van Lines, 10
Open Data-Federal-Department of Commerce-AutoGrid Systems, 10
Open Data-Federal-Department of Commerce-Bekins, 10
Open Data-Federal-Department of Commerce-Walk Score, 10
Open Data-Federal-Department of Commerce-SmartAsset, 10
Open Data-Federal-Department of Commerce-Bridgewater, 10
Open Data-Federal-Department of Commerce-Chemical Abstracts Service, 10
Open Data-Federal-Department of Commerce-Cloudmade-GPS data, 10
Open Data-Federal-Department of Commerce-Code N, 10
Open Data-Federal-Department of Commerce-CostQuest, 10
Open Data-Federal-Department of Commerce-DataLogix, 10
Open Data-Federal-Department of Commerce-Factset, 10
Open Data-Federal-Department of Commerce-Farmers, 10
Open Data-Federal-Department of Commerce-First Fuel Software, 10
Open Data-Federal-Department of Commerce-FlightView, 10
Open Data-Federal-Department of Commerce-Foursquare, 10
Open Data-Federal-Department of Commerce-Garmin, 10
Open Data-Federal-Department of Commerce-Graebel Van Lines, 10
Open Data-Federal-Department of Commerce-Inrix Traffic, 10
Open Data-Federal-Department of Commerce-iRecycle, 10
Open Data-Federal-Department of Commerce-Kaiser Permanante, 10
Open Data-Federal-Department of Commerce-kWhOURS, 10
Open Data-Federal-Department of Commerce-Locavore, 10
Open Data-Federal-Department of Commerce-Liquid Robotics, 10
Open Data-Federal-Department of Commerce-MapQuest, 10
Open Data-Federal-Department of Commerce-North American Van Lines, 10
Open Data-Federal-Department of Commerce-National Van Lines, 10
Open Data-Federal-Department of Commerce-NextBus, 10
Open Data-Federal-Department of Commerce-HERE, 10
Open Data-Federal-Department of Commerce-Noesis, 10
Open Data-Federal-Department of Commerce-OnStar, 10
Open Data-Federal-Department of Commerce-karmadata, 10
Open Data-Federal-Department of Commerce-Orlin Research, 10
Open Data-Federal-Department of Commerce-Politify, 10
Open Data-Federal-Department of Commerce-PlanetEcosystems, 10
Open Data-Federal-Department of Commerce-Progressive Insurance Group, 10
Open Data-Federal-Department of Commerce-Rand McNally, 10
Open Data-Federal-Department of Commerce-Social Explorer, 10
Open Data-Federal-Department of Commerce-Stevens Worldwide Van Lines, 10
Open Data-Federal-Department of Commerce-Suddath, 10
Open Data-Federal-Department of Commerce-Factual, 10
Open Data-Federal-Department of Commerce-The Vanguard Group, 10
Open Data-Federal-Department of Commerce-United Mayflower, 10
Open Data-Federal-Department of Commerce-US Green Data, 10
Open Data-Federal-Department of Commerce-Weather Channel, 10
Open Data-Federal-Department of Commerce-Weather Decision Technologies, 10
Open Data-Federal-Department of Commerce-Enigma.io, 10
Open Data-Federal-Department of Commerce-Wheaton World Wide Moving, 10
Open Data-Federal-Department of Commerce-IVES Group Inc, 10
Open Data-Federal-Department of Commerce-ZocDoc, 10
Open Data-Federal-Department of Commerce-Zillow, 10
Open Data-Federal-Department of Commerce-Xignite, 10
Open Data-Federal-Department of Commerce-Weather Underground, 10
Open Data-Federal-Department of Commerce-Weight Watchers, 10
Open Data-Federal-Department of Commerce-Uber, 10
Open Data-Federal-Department of Commerce-TripIt, 10
Open Data-Federal-Department of Commerce-"Marinexplore Inc.", 10
Open Data-Federal-Department of Commerce-CityScan, 10
Open Data-Federal-Department of Commerce-WaterSmart Software, 10
Open Data-Federal-Department of Commerce-Maponics, 10
Open Data-Federal-Department of Commerce-realtor.com, 10
Open Data-Federal-Department of Commerce-Smart Utility Systems, 10
Open Data-Federal-Department of Commerce-Innography, 10
Open Data-Federal-Department of Commerce-Social Health Insights, 10
Open Data-Federal-Department of Commerce-BuildFax, 10
Open Data-Federal-Department of Commerce-EarthObserver App, 10
Open Data-Federal-Department of Commerce-Geofeedia, 10
Open Data-Federal-Department of Commerce-indoo.rs, 10
Open Data-Federal-Department of Commerce-Thinknum, 10
Open Data-Federal-Department of Commerce-Urban Airship, 10
Open Data-Federal-Department of Commerce-Telenav, 10
Open Data-Federal-Department of Commerce-RedLaser, 10
Open Data-Federal-Department of Commerce-Gallup, 10
Open Data-Federal-Department of Commerce-AreaVibes Inc., 10
